Query,KNN Review
['宣传的书本厚度严重缩水!!'],['宣传的书本厚度严重缩水!!']
['宣传的书本厚度严重缩水!!'],['包装也是醉了，外包装破损，书上的塑封包也破了！']
['宣传的书本厚度严重缩水!!'],['给孩子买了全套资料，这本连包装都没有打开！']
['宣传的书本厚度严重缩水!!'],['还没来看呢。。。']
['宣传的书本厚度严重缩水!!'],['一套棒棒哒??????????']
['宣传的书本厚度严重缩水!!'],['2本半是标准规范，卖得贵了，不厚道。']
['宣传的书本厚度严重缩水!!'],['买了五本书，唯一一本品相良好的书']
['宣传的书本厚度严重缩水!!'],['这套书的印刷，印作的选择都不甚够精细，前言尚可读。这个价钱确实是太贵了！不相匹配！']
['宣传的书本厚度严重缩水!!'],['这个系列终于出了，一读起就放不下来']
['宣传的书本厚度严重缩水!!'],['包装太差劲啥都不想说了，就一个袋子，新书都成旧的啦']
['宣传的书本厚度严重缩水!!'],['好书！！！很喜欢！！！！！']
['宣传的书本厚度严重缩水!!'],['买了1-84，又得一本一本的收了。']
['宣传的书本厚度严重缩水!!'],['错误有点多?']
['宣传的书本厚度严重缩水!!'],['大名鼎鼎的兔子四部曲终于再版了，定价六十多一本，洛阳纸贵？']
['宣传的书本厚度严重缩水!!'],['又好，又快\n推荐!!\n??']
['宣传的书本厚度严重缩水!!'],['挺不错的！！！']
['宣传的书本厚度严重缩水!!'],['现在的包装都这么残忍啊，还好我这没事']
['宣传的书本厚度严重缩水!!'],['还行吧。一般。书被折得真难看。']
['宣传的书本厚度严重缩水!!'],['这本书有点薄，但是用来上课的，这个课程挂了好多人']
['宣传的书本厚度严重缩水!!'],['不愧是中信出版，必是精品，了解下美国的开国元勋']
['很好！孩子喜欢！大赞一个'],['很好！孩子喜欢！大\n赞一个']
['很好！孩子喜欢！大赞一个'],['不错！赞一个！小孩很喜欢！再赞一个！下次还买它！']
['很好！孩子喜欢！大赞一个'],['不错，很喜欢']
['很好！孩子喜欢！大赞一个'],['不错，很喜欢']
['很好！孩子喜欢！大赞一个'],['不错，很喜欢']
['很好！孩子喜欢！大赞一个'],['很不错，真的很不错啊']
['很好！孩子喜欢！大赞一个'],['不错，一如既往的好！']
['很好！孩子喜欢！大赞一个'],['东西很好，十分的喜欢']
['很好！孩子喜欢！大赞一个'],['孩子很喜欢']
['很好！孩子喜欢！大赞一个'],['孩子很喜欢']
['很好！孩子喜欢！大赞一个'],['不错，一如既往的好']
['很好！孩子喜欢！大赞一个'],['挺好的，比较喜欢']
['很好！孩子喜欢！大赞一个'],['还好的，小孩比较喜欢。好评。']
['很好！孩子喜欢！大赞一个'],['非常好，性价比高，女儿很高兴。']
['很好！孩子喜欢！大赞一个'],['好教辅，孩子很喜欢，点赞。']
['很好！孩子喜欢！大赞一个'],['非常好，每次都很满意']
