,Review,Clustering_id
0,宣传的书本厚度严重缩水!!,59
1,很好！孩子喜欢！大赞一个,17
2,很好,2
3,首先，快递师傅的工作热情和态度很好，其次东西包装完好。先给好评。不错。,35
4,一本字典大小，买来当作参考书用，喜欢。随时查。有些东西书店买不到，网上可以买到。希望自己能用的着。工作路还长，一切希望能走的更远，更好。2017，加油。,60
5,方便携带，平时翻翻，随时学习。,91
6,不错，书店找不到，还是网店方便，好好学习天天向上,11
7,很好啊，质量很好，上班几年了，有空时多学习一下！,63
8,封皮颜色看起来怪怪的，喜欢原有的第七版的设计,71
9,像字典那么大，内容比较全面。,62
10,剛收到，小哥送貨快，挺滿意的，,47
11,物流很快，正品行货，满意！,63
12,京东物流太速度了，买这本书就是因为小，带着方便,38
13,打包一看封面掉漆，沾贴不正，象不是正规厂家出版的，内容有待确认。,8
14,双11在京东给宝宝买了太多的书，满减过后的价格非常美丽，印刷的质量也很好，小家伙现在每晚都要一个故事才肯乖乖睡觉。,24
15,东西好的没话说，下次还买，一如既往的支持东西好的没话说，下次还买，一如既往的支持东西好的没话说，下次还买，一如既往的支持,36
16,给娃囤的，6个月娃只会啃，没有什么耐心听故事，长牙阶段太闹腾。,1
17,内容经典，娃爱不释手，要讲好多遍，活动期购买超级划算,62
18,京东活动真多啊，又买了好多好多，绘本不嫌多。,1
19,金羽毛这系列书都不错，适合大一点的小朋友，先买来收藏着，搞活动买也十分优惠，包装的很好！,24
20,jd的书一两个月就要购入很多本绘本选择很多,65
21,给小孩买的陪着小孩一起阅读希望他也爱上读书,65
22,还不错吧，值得购买。。。。。。。。。,49
23,商品符合预期，京东物流给力。,63
24,好书替象棋大师买的信任京东就是快,53
25,很不错适合孩子上小学前放假使用,39
26,非常好，很适合用，下次再来，很有建设性，希望大卖？,39
27,一直在京东买东西的，很不错,0
28,京东速度就是快，小朋友可以练起来了。,70
29,挺好的书，很多人建议这本书呦,77
30,小朋友很喜欢,75
31,推荐好书,21
32,不错,7
33,书不错，值得一看。,77
34,618活动全场200-100，还是挺划算的，帮同事买的书。,13
35,此用户未填写评价内容,6
36,"一本好书。宝贝已经收到了，真的是物有所值非常的满意。卖家的服务态度很好发货速度也很快，包裹的严严实实没有任何破损。快递小哥送货速度快，总体来说是一次愉快的购物呀，下次有需要还会再来买买买！与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。",87
37,塑封包装，商品完好。看纸质印刷，应该是正版。内容实用，值得购买。,27
38,这本书涉及实体建模、线性精力分析、接触分析、弹塑性分析、热应力分析、多体分析、动态分析等，既适合ABAQUS初学者和中级用户，也为ABAQUS高级用户提供了有用的参考,15
39,没有光盘和数据文件，可操作性不好,96
40,作者通过自己的劳动，让我们这些初入门的软件用户可以更方便直接的了解和掌握abaqus的详细设置，争取把全套集齐～,15
41,有参考价值。翻译的比较生硬。,22
42,不错呢，有光盘供学习的。,40
43,东西还不错，唯一的遗憾不是彩印的！双十二物流有点慢，可以理解。,47
